Timestamp,Unix Timestamp,Milliseconds,X,Y,Z
02-02-21 10:45,1612262709,770,-0.11890664,0.06817491,0.00998656
02-02-21 10:45,1612262709,780,-0.09760197,0.051131185,0.012117025
02-02-21 10:45,1612262709,791,-0.04647079,0.07030538,0.021704122
02-02-21 10:45,1612262709,800,-0.013448567,0.08628388,0.04194355
02-02-21 10:45,1612262709,810,0.008921326,0.08628388,0.057922047
02-02-21 10:45,1612262709,820,0.016377958,0.10865377,0.07070484
02-02-21 10:45,1612262709,831,0.005725627,0.113979936,0.08455287
02-02-21 10:45,1612262709,840,-0.05392742,0.09161004,0.1207708
02-02-21 10:45,1612262709,850,-0.100797676,0.08734911,0.13781452
02-02-21 10:45,1612262709,861,-0.15192886,0.08202294,0.14953208
02-02-21 10:45,1612262709,870,-0.18388586,0.075631544,0.15592349
02-02-21 10:45,1612262709,881,-0.23821273,0.036217924,0.16870628
02-02-21 10:45,1612262709,891,-0.2519276,0.001065233,0.15379302
02-02-21 10:45,1612262709,900,-0.24460414,0.009587097,0.12929265
02-02-21 10:45,1612262709,910,-0.20945144,0.037283156,0.08455287
02-02-21 10:45,1612262709,921,-0.16258119,0.046870254,0.04194355
02-02-21 10:45,1612262709,931,-0.114645705,0.051131185,0.022769356
02-02-21 10:45,1612262709,941,-0.064579755,0.057522584,0.008921326
02-02-21 10:45,1612262709,950,-0.029427063,0.06284875,0.006790861
02-02-21 10:45,1612262709,961,0.003595162,0.060718283,0.012117025
02-02-21 10:45,1612262709,970,0.021704122,0.056457352,0.017443191
02-02-21 10:45,1612262709,981,0.02063889,0.06391398,0.021704122
02-02-21 10:45,1612262709,990,-0.001731004,0.07350108,0.024899822
02-02-21 10:45,1612262709,1001,-0.061384052,0.06604445,0.04087832
02-02-21 10:45,1612262709,1011,-0.10505861,0.052196417,0.054726347
02-02-21 10:45,1612262709,1020,-0.19027725,0.023435127,0.08774857
02-02-21 10:45,1612262709,1031,-0.2519276,-0.027696058,0.11011846
02-02-21 10:45,1612262709,1040,-0.2838846,-0.06391398,0.107988
02-02-21 10:45,1612262709,1050,-0.27536273,-0.07989248,0.08455287
02-02-21 10:45,1612262709,1061,-0.24886507,-0.099066675,0.06537867
02-02-21 10:45,1612262709,1070,-0.19347295,-0.13621667,0.03768262
02-02-21 10:45,1612262709,1080,-0.13275467,-0.15432563,0.016377958
02-02-21 10:45,1612262709,1091,-0.05392742,-0.13941237,-0.012383334
02-02-21 10:45,1612262709,1100,0.015312725,-0.1033276,-0.036883693
02-02-21 10:45,1612262709,1111,0.05898728,-0.075631544,-0.037948925
02-02-21 10:45,1612262709,1122,0.06963961,-0.075631544,-0.0177095
02-02-21 10:45,1612262709,1130,0.05366111,-0.06604445,0.013182258
02-02-21 10:45,1612262709,1141,0.024899822,-0.053261653,0.03555215
02-02-21 10:45,1612262709,1150,-0.018774733,-0.058587816,0.05366111
02-02-21 10:45,1612262709,1161,-0.051796954,-0.07030538,0.06537867
02-02-21 10:45,1612262709,1171,-0.10931954,-0.057522584,0.030225987
02-02-21 10:45,1612262709,1180,-0.13168943,-0.044739787,0.006790861
02-02-21 10:45,1612262709,1191,-0.17536399,-0.046870254,-0.02516613
02-02-21 10:45,1612262710,1200,-0.21371238,-0.058587816,-0.040079392
02-02-21 10:45,1612262710,1211,-0.2742975,-0.07882725,-0.05925359
02-02-21 10:45,1612262710,1220,-0.3169068,-0.07989248,-0.07416685
02-02-21 10:45,1612262710,1230,-0.3201025,-0.08095771,-0.07416685
02-02-21 10:45,1612262710,1240,-0.2966674,-0.07030538,-0.063514516
02-02-21 10:45,1612262710,1251,-0.26684088,-0.07243585,-0.040079392
02-02-21 10:45,1612262710,1260,-0.21051668,-0.08095771,-0.0177095
02-02-21 10:45,1612262710,1270,-0.1497984,-0.04580502,-0.001731004
02-02-21 10:45,1612262710,1281,-0.10931954,-0.027696058,0.012117025
02-02-21 10:45,1612262710,1290,-0.09973244,-0.037283156,0.019573657
02-02-21 10:45,1612262710,1300,-0.10505861,-0.037283156,0.022769356
02-02-21 10:45,1612262710,1311,-0.11571094,-0.057522584,0.032356452
02-02-21 10:45,1612262710,1320,-0.122102335,-0.083088174,0.03874785
02-02-21 10:45,1612262710,1333,-0.12636326,-0.08415341,0.03555215
02-02-21 10:45,1612262710,1341,-0.12316757,-0.07137061,0.032356452
02-02-21 10:45,1612262710,1350,-0.12529804,-0.055392116,0.03129122
02-02-21 10:45,1612262710,1360,-0.1274285,-0.06604445,0.04087832
02-02-21 10:45,1612262710,1371,-0.12529804,-0.07137061,0.03874785
02-02-21 10:45,1612262710,1380,-0.10931954,-0.05965305,0.044074018
02-02-21 10:45,1612262710,1390,-0.08375394,-0.054326884,0.029160755
02-02-21 10:45,1612262710,1400,-0.04220986,-0.047935486,0.011051793
02-02-21 10:45,1612262710,1411,-0.00386147,-0.036217924,-0.007057169
02-02-21 10:45,1612262710,1420,0.015312725,-0.030891757,-0.0177095
02-02-21 10:45,1612262710,1430,0.03874785,-0.022369893,-0.023035664
02-02-21 10:45,1612262710,1441,0.047269717,-0.02130466,-0.00386147
